import time: self [us] | cumulative | imported package
import time:      7974 |       8913 |                                               torch.utils.data.datapipes._typing
import time:      1145 |       1145 |                                                 torch.utils._import_utils
import time:      1141 |       1141 |                                                   torch.utils.data.datapipes.utils
import time:      1665 |       2805 |                                                 torch.utils.data.datapipes.utils.common
import time:      6668 |       6668 |                                                 torch.utils.data.dataset
import time:     20006 |      30622 |                                               torch.utils.data.datapipes.datapipe
import time:     14354 |      53889 |                                             torch.utils.data.datapipes._decorator
import time:       725 |        725 |                                               torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:      5045 |       5770 |                                             torch.utils.data.datapipes.dataframe.structures
import time:     11848 |      71506 |                                           torch.utils.data.datapipes.dataframe.dataframes
import time:      1053 |       1053 |                                           torch.utils.data.datapipes.dataframe.datapipes
import time:     14212 |      86771 |                                         torch.utils.data.datapipes.dataframe
import time:      1107 |       1107 |                                                 torch.utils.data._utils.collate
import time:       957 |        957 |                                                 torch.utils.data._utils.fetch
import time:      6298 |       6298 |                                                 torch.utils.data._utils.pin_memory
import time:       665 |        665 |                                                 torch.utils.data._utils.signal_handling
import time:      7723 |       7723 |                                                 torch.utils.data._utils.worker
import time:      1037 |      17785 |                                               torch.utils.data._utils
import time:        26 |      17811 |                                             torch.utils.data._utils.collate
import time:      7625 |      25436 |                                           torch.utils.data.datapipes.iter.callable
import time:      1194 |       1194 |                                             torch.utils.data.sampler
import time:      7436 |       8630 |                                           torch.utils.data.datapipes.iter.combinatorics
import time:      1489 |       1489 |                                           torch.utils.data.datapipes.iter.combining
import time:      1042 |       1042 |                                             torch.utils.data.datapipes.iter.utils
import time:      6196 |       7238 |                                           torch.utils.data.datapipes.iter.filelister
import time:       992 |        992 |                                           torch.utils.data.datapipes.iter.fileopener
import time:       984 |        984 |                                             torch.utils.data.datapipes.iter.sharding
import time:      1075 |       2059 |                                           torch.utils.data.datapipes.iter.grouping
import time:       920 |        920 |                                             torch.utils.data.datapipes.utils.decoder
import time:      7815 |       8735 |                                           torch.utils.data.datapipes.iter.routeddecoder
import time:       967 |        967 |                                           torch.utils.data.datapipes.iter.selecting
import time:       908 |        908 |                                           torch.utils.data.datapipes.iter.streamreader
import time:     60303 |     116751 |                                         torch.utils.data.datapipes.iter
import time:       979 |        979 |                                           torch.utils.data.datapipes.map.callable
import time:       998 |        998 |                                           torch.utils.data.datapipes.map.combinatorics
import time:      1058 |       1058 |                                           torch.utils.data.datapipes.map.combining
import time:       937 |        937 |                                           torch.utils.data.datapipes.map.grouping
import time:       725 |        725 |                                           torch.utils.data.datapipes.map.utils
import time:     29014 |      33709 |                                         torch.utils.data.datapipes.map
import time:      4911 |     242141 |                                       torch.utils.data.datapipes
import time:        42 |     242182 |                                     torch.utils.data.datapipes.iter
import time:        49 |     242230 |                                   torch.utils.data.datapipes.iter.sharding
import time:      1057 |       1057 |                                   torch.utils.data.graph
import time:      7714 |     251001 |                                 torch.utils.data.graph_settings
import time:     12814 |     421784 |                               torch.utils.data.dataloader
import time:       838 |        838 |                               torch.utils.data.distributed
import time:     14195 |     436817 |                             torch.utils.data
import time:       904 |        904 |                             torch.utils.deterministic
import time:       862 |        862 |                             torch.utils.hooks
import time:       981 |        981 |                             torch.utils.backend_registration
import time:       774 |        774 |                             torch.utils.cpp_backtrace
import time:      1309 |       1309 |                             torch.utils.throughput_benchmark
import time:     18309 |     462304 |                           torch.utils
import time:      1027 |       1027 |                           torchgen
import time:      1185 |       1185 |                               torchgen.code_template
import time:      6183 |       7368 |                             torchgen.utils
import time:     24274 |      31642 |                           torchgen.model
import time:      5862 |     500834 |                         torch.utils._python_dispatch
import time:      3537 |     506027 |                       torch.nn.modules.module
import time:      1132 |       1132 |                             torch.distributed.rpc
import time:      1432 |       1432 |                                         pickletools
import time:       873 |        873 |                                         torch.package._digraph
import time:      1034 |       1034 |                                         torch.package._importlib
import time:       736 |        736 |                                         torch.package._mangling
import time:      1075 |       1075 |                                           torch.package.importer
